timestamp,machine_id,line,machine_family,temperature_c,vibration_mm_s,pressure_bar,current_amp,rul_days,anomaly_score
2026-01-12T01:00:00Z,MC-04,Line-C,HeatTreat,71.66,2.2,7.84,103.46,34.4,77.2
2026-01-12T01:00:00Z,MD-01,Line-D,Assembly,76.08,7.29,8.74,110.99,24.6,66.6
2026-01-12T01:00:00Z,MD-02,Line-D,Assembly,69.41,2.02,7.87,94.39,2.2,46.3
2026-01-12T01:00:00Z,MD-03,Line-D,Assembly,66.56,2.98,8.49,122.92,17.7,49.6
2026-01-12T01:00:00Z,MD-04,Line-D,Assembly,67.4,5.6,6.26,109.59,30.3,26.3
2026-01-12T02:00:00Z,MA-01,Line-A,Press,69.66,1.4,7.41,151.75,16.6,92.8
2026-01-12T02:00:00Z,MA-02,Line-A,Press,64.21,5.47,8.34,112.54,38.3,19.2
2026-01-12T02:00:00Z,MA-03,Line-A,Press,66.91,3.47,7.91,120.46,36.9,34.4
2026-01-12T02:00:00Z,MA-04,Line-A,Press,65.97,2.87,8.22,132.66,13.9,32.7
2026-01-12T02:00:00Z,MB-01,Line-B,CNC,72.62,1.93,9.41,112.48,16.9,28.4
2026-01-12T02:00:00Z,MB-02,Line-B,CNC,81.32,1.63,7.64,100.82,30.9,73.8
2026-01-12T02:00:00Z,MB-03,Line-B,CNC,68.83,4.05,9.17,120.81,19.2,71.2
2026-01-12T02:00:00Z,MB-04,Line-B,CNC,68.2,2.66,8.86,138.32,29.1,64.1
2026-01-12T02:00:00Z,MC-01,Line-C,HeatTreat,69.74,3.5,9.23,125.4,37.0,57.7
2026-01-12T02:00:00Z,MC-02,Line-C,HeatTreat,66.44,1.98,7.23,103.26,34.7,47.4
2026-01-12T02:00:00Z,MC-03,Line-C,HeatTreat,71.56,4.92,6.94,117.95,14.6,45.8
2026-01-12T02:00:00Z,MC-04,Line-C,HeatTreat,80.05,4.07,6.25,100.57,38.4,57.7
2026-01-12T02:00:00Z,MD-01,Line-D,Assembly,68.88,3.06,10.52,94.32,37.0,67.9
2026-01-12T02:00:00Z,MD-02,Line-D,Assembly,77.15,5.01,7.73,72.62,15.2,27.4
2026-01-12T02:00:00Z,MD-03,Line-D,Assembly,57.1,1.63,6.97,87.73,42.4,51.5
2026-01-12T02:00:00Z,MD-04,Line-D,Assembly,77.69,4.9,8.51,128.27,29.3,66.6
2026-01-12T03:00:00Z,MA-01,Line-A,Press,70.04,3.7,8.82,88.72,19.7,20.7
2026-01-12T03:00:00Z,MA-02,Line-A,Press,68.35,3.08,8.47,100.9,18.9,23.3
2026-01-12T03:00:00Z,MA-03,Line-A,Press,62.26,5.21,8.97,124.86,11.1,30.1
2026-01-12T03:00:00Z,MA-04,Line-A,Press,72.17,6.31,8.36,107.41,35.6,57.2
2026-01-12T03:00:00Z,MB-01,Line-B,CNC,66.33,2.66,6.38,115.59,24.3,19.9
2026-01-12T03:00:00Z,MB-02,Line-B,CNC,77.52,2.59,8.62,105.0,13.7,14.9
2026-01-12T03:00:00Z,MB-03,Line-B,CNC,79.75,2.71,9.03,132.41,31.6,34.4
2026-01-12T03:00:00Z,MB-04,Line-B,CNC,77.82,3.44,8.81,124.92,44.9,16.4
2026-01-12T03:00:00Z,MC-01,Line-C,HeatTreat,75.13,5.3,8.2,122.03,7.8,0
2026-01-12T03:00:00Z,MC-02,Line-C,HeatTreat,71.77,2.84,6.88,107.31,11.5,43.1
2026-01-12T03:00:00Z,MC-03,Line-C,HeatTreat,75.25,3.18,8.12,96.94,13.7,45.0
2026-01-12T03:00:00Z,MC-04,Line-C,HeatTreat,67.27,4.45,8.47,99.35,15.3,33.2
2026-01-12T03:00:00Z,MD-01,Line-D,Assembly,74.34,6.45,8.41,115.65,6.9,61.7
2026-01-12T03:00:00Z,MD-02,Line-D,Assembly,75.88,5.2,8.39,91.98,14.7,84.5
2026-01-12T03:00:00Z,MD-03,Line-D,Assembly,72.28,3.32,7.83,138.1,23.8,0
2026-01-12T03:00:00Z,MD-04,Line-D,Assembly,65.36,2.26,9.15,110.89,8.6,40.4
2026-01-12T04:00:00Z,MA-01,Line-A,Press,68.59,4.43,9.1,118.12,29.5,39.7
2026-01-12T04:00:00Z,MA-02,Line-A,Press,63.78,6.46,8.48,90.86,16.1,50.3
2026-01-12T04:00:00Z,MA-03,Line-A,Press,67.45,3.01,9.25,115.22,17.9,52.2
2026-01-12T04:00:00Z,MA-04,Line-A,Press,65.07,2.05,8.11,158.13,19.4,69.1
2026-01-12T04:00:00Z,MB-01,Line-B,CNC,72.59,3.61,8.0,87.43,13.9,40.1
2026-01-12T04:00:00Z,MB-02,Line-B,CNC,62.38,2.16,9.12,122.55,45.2,29.4
2026-01-12T04:00:00Z,MB-03,Line-B,CNC,72.11,3.98,9.0,129.82,15.3,53.2
2026-01-12T04:00:00Z,MB-04,Line-B,CNC,68.01,2.52,6.7,104.08,32.2,13.9
2026-01-12T04:00:00Z,MC-01,Line-C,HeatTreat,76.65,1.66,9.55,99.66,38.9,37.7
2026-01-12T04:00:00Z,MC-02,Line-C,HeatTreat,84.95,4.11,9.23,89.0,5.8,55.4
2026-01-12T04:00:00Z,MC-03,Line-C,HeatTreat,68.92,4.1,9.3,99.65,27.6,43.8
2026-01-12T04:00:00Z,MC-04,Line-C,HeatTreat,70.04,3.37,9.53,115.48,2.8,43.8
2026-01-12T04:00:00Z,MD-01,Line-D,Assembly,67.2,3.57,7.39,104.52,18.7,44.2
2026-01-12T04:00:00Z,MD-02,Line-D,Assembly,69.8,3.75,6.07,142.56,18.4,49.5
2026-01-12T04:00:00Z,MD-03,Line-D,Assembly,70.53,4.8,7.66,105.57,29.3,44.3
2026-01-12T04:00:00Z,MD-04,Line-D,Assembly,84.19,9.52,9.4,122.85,30.6,69.3
2026-01-12T05:00:00Z,MA-01,Line-A,Press,67.57,5.23,7.92,111.69,16.8,51.5
2026-01-12T05:00:00Z,MA-02,Line-A,Press,71.37,4.19,8.35,124.07,31.2,42.1
2026-01-12T05:00:00Z,MA-03,Line-A,Press,86.03,3.64,7.01,117.47,6.8,74.2
2026-01-12T05:00:00Z,MA-04,Line-A,Press,70.1,3.66,7.49,126.01,23.5,37.9
2026-01-12T05:00:00Z,MB-01,Line-B,CNC,75.59,3.19,7.25,87.45,4.7,60.5
2026-01-12T05:00:00Z,MB-02,Line-B,CNC,76.97,5.1,9.06,93.74,56.1,22.7
2026-01-12T05:00:00Z,MB-03,Line-B,CNC,66.91,6.13,8.32,130.18,22.0,47.0
2026-01-12T05:00:00Z,MB-04,Line-B,CNC,65.22,4.88,7.42,80.79,29.7,43.5
2026-01-12T05:00:00Z,MC-01,Line-C,HeatTreat,72.78,5.26,8.53,121.99,23.5,36.6
2026-01-12T05:00:00Z,MC-02,Line-C,HeatTreat,70.43,4.13,8.94,80.58,26.4,74.0
2026-01-12T05:00:00Z,MC-03,Line-C,HeatTreat,71.79,3.17,8.13,75.23,31.9,41.4
2026-01-12T05:00:00Z,MC-04,Line-C,HeatTreat,77.1,1.69,9.39,149.31,2,38.9
2026-01-12T05:00:00Z,MD-01,Line-D,Assembly,74.04,5.73,8.84,118.8,23.7,29.2
2026-01-12T05:00:00Z,MD-02,Line-D,Assembly,66.8,5.0,9.35,105.28,20.2,15.1
2026-01-12T05:00:00Z,MD-03,Line-D,Assembly,72.56,1.4,8.63,98.9,24.0,35.1
2026-01-12T05:00:00Z,MD-04,Line-D,Assembly,63.03,1.4,8.92,107.05,2,43.4
2026-01-12T06:00:00Z,MA-01,Line-A,Press,68.26,2.48,8.33,114.67,20.6,23.8
2026-01-12T06:00:00Z,MA-02,Line-A,Press,67.77,3.01,8.34,121.21,3.6,42.4
2026-01-12T06:00:00Z,MA-03,Line-A,Press,70.97,5.59,8.61,137.74,34.1,33.2
2026-01-12T06:00:00Z,MA-04,Line-A,Press,70.03,5.05,6.0,100.22,32.2,51.0
2026-01-12T06:00:00Z,MB-01,Line-B,CNC,67.89,5.29,8.47,106.71,12.4,38.3
2026-01-12T06:00:00Z,MB-02,Line-B,CNC,63.75,3.67,8.79,139.5,38.8,16.3
2026-01-12T06:00:00Z,MB-03,Line-B,CNC,58.64,6.12,8.27,119.7,35.9,61.7
2026-01-12T06:00:00Z,MB-04,Line-B,CNC,69.82,3.06,7.79,141.01,24.8,61.0
2026-01-12T06:00:00Z,MC-01,Line-C,HeatTreat,71.37,2.22,9.29,104.29,13.9,48.2
2026-01-12T06:00:00Z,MC-02,Line-C,HeatTreat,69.62,1.4,8.0,107.39,30.7,28.1
2026-01-12T06:00:00Z,MC-03,Line-C,HeatTreat,77.69,5.36,8.79,130.06,24.6,69.9
2026-01-12T06:00:00Z,MC-04,Line-C,HeatTreat,91.85,7.26,9.86,116.06,1,72.1
2026-01-12T06:00:00Z,MD-01,Line-D,Assembly,66.33,2.93,8.19,103.85,30.6,40.3
2026-01-12T06:00:00Z,MD-02,Line-D,Assembly,73.16,2.3,8.03,80.92,15.5,33.5
2026-01-12T06:00:00Z,MD-03,Line-D,Assembly,74.16,4.45,9.34,98.98,44.2,21.6
2026-01-12T06:00:00Z,MD-04,Line-D,Assembly,69.4,2.54,7.58,93.21,11.6,53.6
2026-01-12T07:00:00Z,MA-01,Line-A,Press,69.41,2.69,7.62,111.37,18.4,30.2
2026-01-12T07:00:00Z,MA-02,Line-A,Press,65.55,5.92,8.7,102.07,20.9,30.9
2026-01-12T07:00:00Z,MA-03,Line-A,Press,63.27,4.58,7.61,116.45,14.0,29.1
2026-01-12T07:00:00Z,MA-04,Line-A,Press,61.3,4.71,7.37,95.15,26.0,23.8
2026-01-12T07:00:00Z,MB-01,Line-B,CNC,67.87,2.25,8.84,122.38,25.5,47.4
2026-01-12T07:00:00Z,MB-02,Line-B,CNC,66.35,4.85,8.42,129.5,29.0,27.9
2026-01-12T07:00:00Z,MB-03,Line-B,CNC,62.2,3.83,8.35,118.11,35.7,5.9
2026-01-12T07:00:00Z,MB-04,Line-B,CNC,61.84,6.72,7.39,86.68,21.6,44.8
2026-01-12T07:00:00Z,MC-01,Line-C,HeatTreat,73.16,2.25,8.51,112.94,16.4,65.2
2026-01-12T07:00:00Z,MC-02,Line-C,HeatTreat,74.73,2.07,7.58,119.89,17.9,44.1
2026-01-12T07:00:00Z,MC-03,Line-C,HeatTreat,83.95,5.76,8.11,122.19,14.7,50.3
2026-01-12T07:00:00Z,MC-04,Line-C,HeatTreat,71.24,4.14,10.62,96.81,42.0,44.2
2026-01-12T07:00:00Z,MD-01,Line-D,Assembly,70.05,5.56,8.12,131.38,26.1,36.8
2026-01-12T07:00:00Z,MD-02,Line-D,Assembly,77.85,3.44,6.54,170.03,46.6,25.3
2026-01-12T07:00:00Z,MD-03,Line-D,Assembly,73.97,2.68,8.58,109.96,32.5,29.0
2026-01-12T07:00:00Z,MD-04,Line-D,Assembly,71.65,3.09,7.68,122.93,26.5,50.7
2026-01-12T08:00:00Z,MA-01,Line-A,Press,68.44,5.21,9.4,102.25,13.8,43.1
2026-01-12T08:00:00Z,MA-02,Line-A,Press,67.15,4.27,9.0,118.81,22.5,47.2
2026-01-12T08:00:00Z,MA-03,Line-A,Press,70.88,6.23,9.36,122.1,11.7,38.9
2026-01-12T08:00:00Z,MA-04,Line-A,Press,70.69,3.51,9.85,102.22,6.5,68.9
2026-01-12T08:00:00Z,MB-01,Line-B,CNC,66.36,2.5,7.36,108.05,15.7,51.4
2026-01-12T08:00:00Z,MB-02,Line-B,CNC,71.45,3.92,8.9,105.82,52.4,5.0
2026-01-12T08:00:00Z,MB-03,Line-B,CNC,73.22,5.26,6.85,119.6,34.3,40.0
2026-01-12T08:00:00Z,MB-04,Line-B,CNC,65.21,2.62,7.6,88.93,42.5,55.6
2026-01-12T08:00:00Z,MC-01,Line-C,HeatTreat,74.35,4.76,10.13,114.99,15.2,59.4
2026-01-12T08:00:00Z,MC-02,Line-C,HeatTreat,79.74,6.76,7.28,113.23,8.4,88.6
2026-01-12T08:00:00Z,MC-03,Line-C,HeatTreat,73.2,5.29,7.06,125.16,11.0,26.2
2026-01-12T08:00:00Z,MC-04,Line-C,HeatTreat,72.19,4.44,7.65,134.25,22.9,43.8
2026-01-12T08:00:00Z,MD-01,Line-D,Assembly,74.22,5.74,9.9,74.11,23.2,36.6
2026-01-12T08:00:00Z,MD-02,Line-D,Assembly,63.66,4.58,10.21,109.79,26.4,50.7
2026-01-12T08:00:00Z,MD-03,Line-D,Assembly,71.62,5.61,6.95,115.69,47.9,18.9
2026-01-12T08:00:00Z,MD-04,Line-D,Assembly,68.25,4.38,8.07,126.31,23.0,39.7
2026-01-12T09:00:00Z,MA-01,Line-A,Press,73.2,1.4,7.33,141.79,7.7,51.6
2026-01-12T09:00:00Z,MA-02,Line-A,Press,70.1,2.38,7.82,129.1,38.7,44.6
2026-01-12T09:00:00Z,MA-03,Line-A,Press,70.71,4.29,8.88,118.92,37.4,55.9
2026-01-12T09:00:00Z,MA-04,Line-A,Press,63.54,3.24,7.85,120.36,4.2,41.5
2026-01-12T09:00:00Z,MB-01,Line-B,CNC,67.41,5.81,8.04,106.64,33.4,28.5
2026-01-12T09:00:00Z,MB-02,Line-B,CNC,71.1,2.94,6.59,145.61,31.0,46.9
2026-01-12T09:00:00Z,MB-03,Line-B,CNC,66.28,2.5,7.85,118.67,18.1,33.1
2026-01-12T09:00:00Z,MB-04,Line-B,CNC,74.85,2.94,7.46,127.31,41.3,36.6
2026-01-12T09:00:00Z,MC-01,Line-C,HeatTreat,72.32,3.79,7.72,123.64,21.2,33.3
2026-01-12T09:00:00Z,MC-02,Line-C,HeatTreat,59.78,4.34,7.87,129.69,40.8,28.2
2026-01-12T09:00:00Z,MC-03,Line-C,HeatTreat,72.38,6.06,7.82,115.72,19.1,47.3
2026-01-12T09:00:00Z,MC-04,Line-C,HeatTreat,67.13,3.23,8.26,106.85,18.9,35.6
2026-01-12T09:00:00Z,MD-01,Line-D,Assembly,82.14,2.83,8.4,119.94,23.0,84.0
2026-01-12T09:00:00Z,MD-02,Line-D,Assembly,63.69,5.53,8.98,144.74,16.5,10.7
2026-01-12T09:00:00Z,MD-03,Line-D,Assembly,72.11,1.4,8.19,121.55,41.0,56.2
2026-01-12T09:00:00Z,MD-04,Line-D,Assembly,64.8,3.77,10.45,123.45,19.7,20.3
2026-01-12T10:00:00Z,MA-01,Line-A,Press,73.9,2.58,6.46,109.19,41.0,62.1
2026-01-12T10:00:00Z,MA-02,Line-A,Press,68.71,4.44,7.37,115.57,22.2,75.6
2026-01-12T10:00:00Z,MA-03,Line-A,Press,76.3,2.2,6.36,139.22,33.8,42.8
2026-01-12T10:00:00Z,MA-04,Line-A,Press,69.08,3.08,10.37,131.76,24.0,71.5
2026-01-12T10:00:00Z,MB-01,Line-B,CNC,93.76,5.34,6.97,122.05,2.8,73.4
2026-01-12T10:00:00Z,MB-02,Line-B,CNC,71.9,4.02,8.45,163.47,15.0,48.0
2026-01-12T10:00:00Z,MB-03,Line-B,CNC,75.35,3.35,7.7,137.16,37.3,53.4
2026-01-12T10:00:00Z,MB-04,Line-B,CNC,67.79,3.61,9.83,124.37,25.3,31.4
2026-01-12T10:00:00Z,MC-01,Line-C,HeatTreat,75.31,2.78,8.03,137.38,12.9,61.7
2026-01-12T10:00:00Z,MC-02,Line-C,HeatTreat,69.02,2.69,8.93,111.26,37.9,46.1
2026-01-12T10:00:00Z,MC-03,Line-C,HeatTreat,72.94,1.52,9.99,117.43,20.7,49.9
2026-01-12T10:00:00Z,MC-04,Line-C,HeatTreat,72.48,4.48,8.92,133.84,12.6,35.2
2026-01-12T10:00:00Z,MD-01,Line-D,Assembly,66.69,1.4,9.74,112.2,25.2,35.9
2026-01-12T10:00:00Z,MD-02,Line-D,Assembly,74.1,7.25,8.13,107.66,36.1,32.1
2026-01-12T10:00:00Z,MD-03,Line-D,Assembly,74.08,3.48,7.87,99.38,15.2,59.5
2026-01-12T10:00:00Z,MD-04,Line-D,Assembly,63.64,2.51,8.23,99.1,32.1,18.4
2026-01-12T11:00:00Z,MA-01,Line-A,Press,66.38,2.92,7.01,118.51,32.7,30.4
2026-01-12T11:00:00Z,MA-02,Line-A,Press,72.45,4.05,9.02,126.06,20.9,59.9
2026-01-12T11:00:00Z,MA-03,Line-A,Press,80.72,3.41,6.74,80.14,2.3,77.6
2026-01-12T11:00:00Z,MA-04,Line-A,Press,75.59,3.55,7.57,138.18,19.8,39.4
2026-01-12T11:00:00Z,MB-01,Line-B,CNC,74.56,3.73,9.36,85.73,4.5,65.3
2026-01-12T11:00:00Z,MB-02,Line-B,CNC,77.33,5.99,7.5,115.67,27.1,59.0
2026-01-12T11:00:00Z,MB-03,Line-B,CNC,72.02,5.22,8.39,63.34,2.3,45.3
2026-01-12T11:00:00Z,MB-04,Line-B,CNC,64.25,3.49,10.11,110.25,23.9,69.5
2026-01-12T11:00:00Z,MC-01,Line-C,HeatTreat,80.22,1.51,7.38,128.3,32.4,43.1
2026-01-12T11:00:00Z,MC-02,Line-C,HeatTreat,71.56,1.4,7.45,144.39,24.4,63.0
2026-01-12T11:00:00Z,MC-03,Line-C,HeatTreat,67.69,7.98,10.69,117.9,2,14.1
2026-01-12T11:00:00Z,MC-04,Line-C,HeatTreat,76.71,2.58,6.95,105.37,41.1,40.2
2026-01-12T11:00:00Z,MD-01,Line-D,Assembly,77.2,4.19,10.42,123.75,50.3,47.8
2026-01-12T11:00:00Z,MD-02,Line-D,Assembly,69.1,2.37,7.98,106.32,33.9,43.9
2026-01-12T11:00:00Z,MD-03,Line-D,Assembly,73.71,2.84,10.46,105.97,36.4,57.7
2026-01-12T11:00:00Z,MD-04,Line-D,Assembly,67.8,4.76,8.42,140.6,34.9,45.3
2026-01-12T12:00:00Z,MA-01,Line-A,Press,69.14,6.27,7.59,163.23,26.2,45.3
2026-01-12T12:00:00Z,MA-02,Line-A,Press,66.05,3.58,6.86,134.53,17.6,35.0
2026-01-12T12:00:00Z,MA-03,Line-A,Press,66.17,5.2,7.13,140.29,19.5,23.4
2026-01-12T12:00:00Z,MA-04,Line-A,Press,73.17,4.24,9.54,83.83,27.7,36.2
2026-01-12T12:00:00Z,MB-01,Line-B,CNC,72.21,3.39,7.86,120.51,26.2,25.5
2026-01-12T12:00:00Z,MB-02,Line-B,CNC,84.59,6.4,8.96,93.84,17.0,42.3
2026-01-12T12:00:00Z,MB-03,Line-B,CNC,63.02,1.94,8.19,128.23,48.8,33.2
2026-01-12T12:00:00Z,MB-04,Line-B,CNC,70.67,1.4,7.3,141.58,10.3,47.0
2026-01-12T12:00:00Z,MC-01,Line-C,HeatTreat,67.02,4.0,8.52,139.79,16.7,50.6
2026-01-12T12:00:00Z,MC-02,Line-C,HeatTreat,69.3,4.6,9.64,104.03,30.6,60.6
2026-01-12T12:00:00Z,MC-03,Line-C,HeatTreat,70.53,4.24,7.44,106.81,19.5,38.0
2026-01-12T12:00:00Z,MC-04,Line-C,HeatTreat,65.84,4.44,9.83,129.14,24.3,28.5
2026-01-12T12:00:00Z,MD-01,Line-D,Assembly,70.29,3.48,7.47,109.04,52.8,16.1
2026-01-12T12:00:00Z,MD-02,Line-D,Assembly,70.28,3.91,7.94,122.34,27.5,68.3
2026-01-12T12:00:00Z,MD-03,Line-D,Assembly,73.06,5.47,8.81,114.44,35.4,54.0
2026-01-12T12:00:00Z,MD-04,Line-D,Assembly,62.36,2.33,8.56,110.94,21.3,22.0
2026-01-12T13:00:00Z,MA-01,Line-A,Press,72.53,5.57,9.07,139.28,24.9,42.7
2026-01-12T13:00:00Z,MA-02,Line-A,Press,67.55,5.01,7.06,115.3,24.4,75.1
2026-01-12T13:00:00Z,MA-03,Line-A,Press,68.75,4.86,7.94,143.04,23.8,19.3
2026-01-12T13:00:00Z,MA-04,Line-A,Press,69.67,5.51,6.83,111.89,2,9.6
2026-01-12T13:00:00Z,MB-01,Line-B,CNC,63.85,3.57,8.71,131.69,39.6,42.6
2026-01-12T13:00:00Z,MB-02,Line-B,CNC,69.51,5.36,8.48,134.8,20.1,79.5
2026-01-12T13:00:00Z,MB-03,Line-B,CNC,68.43,4.5,9.89,89.3,26.9,60.8
2026-01-12T13:00:00Z,MB-04,Line-B,CNC,70.46,5.91,8.65,101.73,20.8,66.5
2026-01-12T13:00:00Z,MC-01,Line-C,HeatTreat,71.01,2.97,7.08,129.33,29.6,45.4
2026-01-12T13:00:00Z,MC-02,Line-C,HeatTreat,73.93,2.91,6.85,121.26,34.8,48.8
2026-01-12T13:00:00Z,MC-03,Line-C,HeatTreat,73.49,1.84,8.12,115.54,35.7,43.5
2026-01-12T13:00:00Z,MC-04,Line-C,HeatTreat,65.96,4.33,7.5,95.77,25.7,7.8
2026-01-12T13:00:00Z,MD-01,Line-D,Assembly,69.0,4.76,7.63,151.8,34.8,3.8
2026-01-12T13:00:00Z,MD-02,Line-D,Assembly,65.16,5.05,9.32,121.41,36.7,29.7
2026-01-12T13:00:00Z,MD-03,Line-D,Assembly,66.56,1.84,9.42,117.16,31.7,27.0
2026-01-12T13:00:00Z,MD-04,Line-D,Assembly,71.05,2.82,8.15,133.0,16.1,59.6
2026-01-12T14:00:00Z,MA-01,Line-A,Press,70.91,4.95,8.24,115.58,43.7,43.4
2026-01-12T14:00:00Z,MA-02,Line-A,Press,62.45,2.23,6.7,123.9,18.1,7.5
2026-01-12T14:00:00Z,MA-03,Line-A,Press,63.82,2.38,7.67,84.61,36.0,20.3
2026-01-12T14:00:00Z,MA-04,Line-A,Press,75.31,1.54,7.58,136.58,20.7,71.2
2026-01-12T14:00:00Z,MB-01,Line-B,CNC,68.14,3.78,7.98,149.28,38.7,52.8
2026-01-12T14:00:00Z,MB-02,Line-B,CNC,74.65,3.25,9.18,123.59,9.5,24.3
2026-01-12T14:00:00Z,MB-03,Line-B,CNC,74.5,4.34,8.1,102.75,2,61.2
2026-01-12T14:00:00Z,MB-04,Line-B,CNC,68.9,3.41,7.01,78.04,13.9,44.7
2026-01-12T14:00:00Z,MC-01,Line-C,HeatTreat,77.92,3.74,9.15,123.89,30.9,40.8
2026-01-12T14:00:00Z,MC-02,Line-C,HeatTreat,74.17,1.98,8.82,135.42,39.3,45.5
2026-01-12T14:00:00Z,MC-03,Line-C,HeatTreat,75.25,3.32,8.13,128.5,14.7,72.4
2026-01-12T14:00:00Z,MC-04,Line-C,HeatTreat,73.48,7.78,7.05,105.09,21.3,60.1
2026-01-12T14:00:00Z,MD-01,Line-D,Assembly,67.34,2.35,7.36,135.37,2,49.8
2026-01-12T14:00:00Z,MD-02,Line-D,Assembly,65.24,4.15,8.17,80.5,19.5,68.4
2026-01-12T14:00:00Z,MD-03,Line-D,Assembly,71.23,4.04,9.58,120.37,23.4,37.5
2026-01-12T14:00:00Z,MD-04,Line-D,Assembly,67.43,1.57,8.21,132.3,22.3,26.7
2026-01-12T15:00:00Z,MA-01,Line-A,Press,66.45,2.03,6.75,168.38,40.0,41.3
2026-01-12T15:00:00Z,MA-02,Line-A,Press,74.18,4.02,7.06,87.04,29.6,33.6
2026-01-12T15:00:00Z,MA-03,Line-A,Press,75.29,4.24,9.35,135.6,3.7,43.9
2026-01-12T15:00:00Z,MA-04,Line-A,Press,71.33,1.95,8.37,145.06,52.7,51.1
2026-01-12T15:00:00Z,MB-01,Line-B,CNC,86.13,6.64,7.89,118.74,12.6,43.3
2026-01-12T15:00:00Z,MB-02,Line-B,CNC,64.67,5.05,8.07,119.44,16.5,34.9
2026-01-12T15:00:00Z,MB-03,Line-B,CNC,68.24,1.89,8.42,126.96,2,60.2
2026-01-12T15:00:00Z,MB-04,Line-B,CNC,61.35,1.4,8.9,134.31,7.1,47.9
2026-01-12T15:00:00Z,MC-01,Line-C,HeatTreat,73.13,2.3,8.34,132.38,37.1,34.2
2026-01-12T15:00:00Z,MC-02,Line-C,HeatTreat,75.6,1.89,7.78,91.76,11.5,44.4
2026-01-12T15:00:00Z,MC-03,Line-C,HeatTreat,72.44,4.42,9.67,111.3,13.7,25.7
2026-01-12T15:00:00Z,MC-04,Line-C,HeatTreat,70.69,3.64,7.8,99.41,36.5,78.8
2026-01-12T15:00:00Z,MD-01,Line-D,Assembly,73.42,3.81,7.7,136.05,23.2,60.4
2026-01-12T15:00:00Z,MD-02,Line-D,Assembly,67.83,2.53,8.1,107.04,25.0,45.6
2026-01-12T15:00:00Z,MD-03,Line-D,Assembly,71.76,2.53,9.55,100.85,2,57.0
2026-01-12T15:00:00Z,MD-04,Line-D,Assembly,66.17,1.4,7.65,100.71,20.3,38.9
2026-01-12T16:00:00Z,MA-01,Line-A,Press,80.22,5.1,7.09,79.1,16.2,30.3
2026-01-12T16:00:00Z,MA-02,Line-A,Press,68.06,3.91,8.51,107.54,34.9,45.1
